,Author,Year,Journal,Title,Abstract,DOI,exclude_duplicate_study,Link,Extracted by,Included,Reason for exclusion,Animal model,Species,Strain,Sex,Age,Tested drug(s),Comparator,Outcome,Total number of animals,Treatment regimen,EAE_1_drug_mean,EAE_1_drug_n,EAE_1_drug_var,EAE_1_con_mean,EAE_1_con_n,EAE_1_con_var,EAE_1_data_type,MRI_1_drug_mean,MRI_1_drug_n,MRI_1_drug_var,MRI_1_con_mean,MRI_1_con_n,MRI_1_con_var,MRI_1_data_type,MRI Outcome...36,Comment,Tested drug 2,Outcome drug 2,Treatment regimen drug 2...67,EAE_2_drug_mean,EAE_2_drug_n,EAE_2_drug_var,EAE_2_con_mean,EAE_2_con_n,EAE_2_con_var,EAE_2_data_type,...75,Tested drug 3,Treatment regimen drug 2...77,EAE_3_drug_mean,EAE_3_drug_n,EAE_3_drug_var,EAE_3_con_mean,EAE_3_con_n,EAE_3_con_var,EAE_3_data_type,...85,MRI_2_drug_mean,MRI_2_drug_n,MRI_2_drug_var,MRI_2_con_mean,MRI_2_con_n,MRI_2_con_var,MRI_2_data_type,MRI Outcome...93,...94,MRI_3_drug_mean,MRI_3_drug_n,MRI_3_drug_var,MRI_3_con_mean,MRI_3_con_n,MRI_3_con_var,MRI_3_data_type,MRI Outcome...102,MRI_4_drug_mean,MRI_4_drug_n,MRI_4_drug_var,MRI_4_con_mean,MRI_4_con_n,MRI_4_con_var,MRI_4_data_type,MRI Outcome...110,Species_in_study,status,status2
225,"Koc, <c3><9c> and Haupeltshofer, S. and Kl<c3><b6>ster, K. and Demir, S. and Gold, R. and Faissner, S.",2023,Cells,Prophylactic Glatiramer Acetate Treatment Positively Attenuates Spontaneous Opticospinal Encephalomyelitis,"Background: Glatiramer acetate (GA) is a well-established treatment option for patients with clinically isolated syndrome and relapsing-remitting multiple sclerosis (MS) with few side effects. The double transgenic mouse model spontaneous opticospinal encephalomyelitis (OSE), based on recombinant myelin oligodendrocyte glycoprotein(35-55) reactive T and B cells, mimicks features of chronic inflammation and degeneration in MS and related disorders. Here, we investigated the effects of prophylactic GA treatment on the clinical course, histological alterations and peripheral immune cells in OSE. Objective: To investigate the effects of prophylactic glatiramer acetate (GA) treatment in a mouse model of spontaneous opticospinal encephalomyelitis (OSE). Methods: OSE mice with a postnatal age of 21 to 28 days without signs of encephalomyelitis were treated once daily either with 150 <c2><b5>g GA or vehicle intraperitoneally (i. p.). The animals were scored daily regarding clinical signs and weight. The animals were sacrificed after 30 days of treatment or after having reached a score of 7.0 due to animal care guidelines. We performed immunohistochemistry of spinal cord sections and flow cytometry analysis of immune cells. Results: Preventive treatment with 150 <c2><b5>g GA i. p. once daily significantly reduced clinical disease progression with a mean score of 3.9 <c2><b1> 1.0 compared to 6.2 <c2><b1> 0.7 in control animals (p < 0.01) after 30 d in accordance with positive effects on weight (p < 0.001). The immunohistochemistry showed that general inflammation, demyelination or CD11c(+) dendritic cell infiltration did not differ. There was, however, a modest reduction of the Iba1(+) area (p < 0.05) and F4/80(+) area upon GA treatment (p < 0.05). The immune cell composition of secondary lymphoid organs showed a trend towards an upregulation of regulatory T cells, which lacked significance. Conclusions: Preventive treatment with GA reduces disease progression in OSE in line with modest effects on microglia/macrophages. Due to the lack of established prophylactic treatment options for chronic autoimmune diseases with a high risk of disability, our study could provide valuable indications for translational medicine.",10.3390/cells12040542,no,NA,WZ,1,NA,OSE,mouse,"TCRMOG, IghMOG",both,3.5,Glatiramer acetate,control,1,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
226,"Kocovski, P. and Tabassum-Sheikh, N. and Marinis, S. and Dang, P. T. and Hale, M. W. and Orian, J. M.",2021,Front Immunol,"Immunomodulation Eliminates Inflammation in the Hippocampus in Experimental Autoimmune Encephalomyelitis, but Does Not Ameliorate Anxiety-Like Behavior","Multiple sclerosis (MS) is an autoimmune disease targeting the central nervous system, characterized by an unpredictable disease course and a wide range of symptoms. Emotional and cognitive deficits are now recognized as primary disease manifestations and not simply the consequence of living with a chronic condition, raising questions regarding the efficacy of current therapeutics for these specific symptoms. Mechanisms underlying psychiatric sequelae in MS are believed to be similar to those underlying pathogenesis, that is mediated by cytokines and other inflammatory mediators. To gain insight into the pathogenesis of MS depression, we performed behavioral assays in the murine experimental autoimmune encephalomyelitis (EAE) MS model, in the presence or absence of immunomodulation using the drug FTY720, an analogue of the lipid signaling molecule sphingosine-1-phosphate (S1P). Specifically, mice were challenged with the elevated plus maze (EPM) test, a validated experimental paradigm for rodent-specific anxiety-like behavior. FTY720 treatment failed to ameliorate anxiety-like symptoms, irrespective of dosage. On the other hand, it was effective in reducing inflammatory infiltration, microglial reactivity and levels of pro-inflammatory molecules in the hippocampus, confirming the anti-inflammatory capacity of treatment. To explore the absence of FTY720 effect on behavior, we confirmed expression of S1P receptors (S1PR) S1PR1, S1PR3 and S1PR5 in the hippocampus and mapped the dynamics of these receptors in response to drug treatment alone, or in combination with EAE induction. We identified a complex pattern of responses, differing between (1) receptors, (2) dosage and (3) hippocampal sub-field. FTY720 treatment in the absence of EAE resulted in overall downregulation of S1PR1 and S1PR3, while S1PR5 exhibited a dose-dependent upregulation. EAE induction alone resulted in overall downregulation of all three receptors. On the other hand, combined FTY720 and EAE showed generally no effect on S1PR1 and S1PR3 expression except for the fimbrium region, but strong upregulation of S1PR5 over the range of doses examined. These data illustrate a hitherto undescribed complexity of S1PR response to FTY720 in the hippocampus, independent of drug effect on effector immune cells, but simultaneously emphasize the need to explore novel treatment strategies to specifically address mood disorders in MS.",10.3389/fimmu.2021.639650,no,NA,WZ,1,NA,EAE,mouse,TCRMOGxIgHMOG,female,14,Fingolimod,control,1,NA,1,0,8,0,2.3,8,0.1,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
227,"Koda, T. and Namba, A. and Nakatsuji, Y. and Niino, M. and Miyazaki, Y. and Sugimoto, T. and Kinoshita, M. and Takata, K. and Yamashita, K. and Shimizu, M. and Fukazawa, T. and Kumanogoh, A. and Mochizuki, H. and Okuno, T.",2018,PLoS One,Beneficial effects of fingolimod in MS patients with high serum Sema4A levels,"We previously demonstrated that patients with multiple sclerosis (MS) of high serum Sema4A levels are resistant to IFN-<ce><b2> therapy. To further elucidate the role of serum Sema4A as a biomarker for therapeutic stratification in MS patients, it is important to clarify the efficacy of other disease-modifying drugs (DMD) in those with high serum Sema4A levels. Thus, in this study we investigated whether fingolimod has beneficial effects on MS patients with high Sema4A levels. We retrospectively analyzed annualized relapse rate (ARR) and Expanded Disability Status Scale (EDSS) change in 56 relapsing-remitting multiple sclerosis (RRMS) patients who had been treated with fingolimod, including those who switched from IFN-<ce><b2> therapy. The levels of Sema4A in the sera were measured by sandwich ELISA. The implications of Sema4A on the efficacy of fingolimod were investigated by administering recombinant Sema4A-Fc and fingolimod to mice with experimental autoimmune encephalomyelitis (EAE). Retrospective analysis of MS cohort (17 high Sema4A and 39 low Sema4A) demonstrated the effectiveness of fingolimod in those with high serum Sema4A levels, showing reduction of ARR (from 1.21 to 0.12) and EDSS progression (from 0.50 to 0.04). Consistent with this observation, improvement in the disease severity of EAE mice receiving recombinant Sema4A-Fc was also observed after fingolimod treatment. These data suggest that fingolimod could serve as a candidate DMD for managing the disease activity of MS patients with high Sema4A levels.",10.1371/journal.pone.0193986,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,female,9,Fingolimod,control,1,97,1,1.2,8,0.3,3.5,10,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,Interferon Beta 1,1,1,2.4,7,0.1,3.6,10,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,Marketed
228,"Koda, T. and Okuno, T. and Takata, K. and Honorat, J. A. and Kinoshita, M. and Tada, S. and Moriya, M. and Sakoda, S. and Mochizuki, H. and Kumanogoh, A. and Nakatsuji, Y.",2014,J Neuroimmunol,Sema4A inhibits the therapeutic effect of IFN-Î² in EAE,"Approximately one-third of patients with multiple sclerosis (MS) respond poorly to interferon-beta (IFN-<ce><b2>) therapy. Serum Sema4A is increased in MS patients, and those who have high Sema4A do not respond to IFN-<ce><b2> therapy. In this study, we investigated whether recombinant Sema4A abrogates the efficacy of IFN-<ce><b2> in mice with experimental autoimmune encephalomyelitis (EAE), an animal model of MS. Administration of Sema4A concurrently with IFN-<ce><b2> diminished the efficacy of IFN-<ce><b2> in EAE. These effects of Sema4A were attributed to promote Th1 and Th17 differentiation and to increase adhesive activation of T cells to endothelial cells, even in the presence of IFN-<ce><b2>.",10.1016/j.jneuroim.2013.12.014,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,female,9.5,Interferon Beta 1,control,1,34,1,0.5,8,0.2,2.2,10,0.1,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
229,"Kostadinova, I. and Landzhov, B. and Marinov, L. and Vezenkov, L. and Danchev, N.",2021,Amino Acids,Neuroprotective effect of newly synthesized 4-aminopyridine derivatives on cuprizone-induced demyelination in mice-a behavioral and immunohistochemical study,"The aim of this study was to assess the effect of newly synthesized derivatives of 4-aminopyridine (4-AP) on cuprizone-induced model of brain demyelination in mice. 4-AP is already approved for the treatment of walking difficulties in patients with multiple sclerosis. The model of demyelination was carried out by the administration of cuprizone to the drinking water of the experimental mice. Besides cuprizone, 4-AP derivatives and 4-AP were administered to the groups in order to assess their protective effect on the demyelination. We used immunohistochemistry for visualization of changes in corpus callosum. Memory storage processes were also assessed with the passive avoidance test on the last two days of the experiment. The experimental mice treated with compounds 4b and 4c increased significantly their latency time on the second day in comparison to the control group which indicated an improved memory process. The number of mature oligodendrocytes in the groups treated with compounds 4b, 4c and 4-AP is closer to those in the control group. The results of our studies showed that the newly synthesized compounds 4b and 4c reverse the effect of cuprizone. These groups also showed increased latency time in the passive avoidance test in comparison to the control group.",10.1007/s00726-021-03035-2,no,NA,WZ,1,NA,cuprizone,mouse,C57BL/6,male,16,Fampridine,control,1,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
230,"Krementsov, D. N. and Asarian, L. and Fang, Q. and McGill, M. M. and Teuscher, C.",2018,Front Immunol,Sex-Specific Gene-by-Vitamin D Interactions Regulate Susceptibility to Central Nervous System Autoimmunity,"Vitamin D3 (VitD) insufficiency is postulated to represent a major modifiable risk factor for multiple sclerosis (MS). While low VitD levels strongly correlate with higher MS risk in white populations, this is not the case for other ethnic groups, suggesting the existence of a genetic component. Moreover, VitD supplementation studies in MS so far have not shown a consistent benefit. We sought to determine whether direct manipulation of VitD levels modulates central nervous system autoimmune disease in a sex-by-genotype-dependent manner. To this end, we used a dietary model of VitD modulation, together with the autoimmune animal model of MS, experimental autoimmune encephalomyelitis (EAE). To assess the impact of genotype-by-VitD interactions on EAE susceptibility, we utilized a chromosome substitution (consomic) mouse model that incorporates the genetic diversity of wild-derived PWD/PhJ mice. High VitD was protective in EAE in female, but not male C57BL/6J (B6) mice, and had no effect in EAE-resistant PWD/PhJ (PWD) mice. EAE protection was accompanied by sex- and genotype-specific suppression of proinflammatory transcriptional programs in CD4 T effector cells, but not CD4 regulatory T cells. Decreased expression of proinflammatory genes was observed with high VitD in female CD4 T effector cells, specifically implicating a key role of MHC class II genes, interferon gamma, and Th1<e2><80><89>cell-mediated neuroinflammation. In consomic strains, effects of VitD on EAE were also sex- and genotype dependent, whereby high VitD: (1) was protective, (2) had no effect, and (3) unexpectedly had disease-exacerbating effects. Systemic levels of 25(OH)D differed across consomic strains, with higher levels associated with EAE protection only in females. Analysis of expression of key known VitD metabolism genes between B6 and PWD mice revealed that their expression is genetically determined and sex specific and implicated Cyp27b1 and Vdr as candidate genes responsible for differential EAE responses to VitD modulation. Taken together, our results support the observation that the association between VitD status and MS susceptibility is genotype dependent and suggest that the outcome of VitD status in MS is determined by gene-by-sex interactions.",10.3389/fimmu.2018.01622,no,NA,WZ,1,NA,EAE,mouse,"C57BL/6, PWD, C57BL/6.ChrPWD",both,9,Vitamin D3,control,1,209,0,1.3,24,0.3,1.9,33,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,Scores obtained from B6 strain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
231,"Kretzschmar, B. and Hein, K. and Moinfar, Z. and K<c3><b6>nnecke, B. and S<c3><a4>ttler, M. B. and Hess, H. and Weissert, R. and B<c3><a4>hr, M.",2014,J Neuroimmunol,Treatment with atacicept enhances neuronal cell death in a rat model of optic neuritis,"We investigated the effect of atacicept, a recombinant fusion protein blocking BLyS and APRIL and acting on B cells, on degeneration of retinal ganglion cells (RGCs) during experimental autoimmune encephalomyelitis (EAE). We used myelin oligodendrocyte glycoprotein in Brown Norway rats to induce a variant of EAE which involves B cells and leads to severe optic neuritis. Intraperitoneal treatment with atacicept at some of the studied dose levels (100 or 200 <ce><bc>g) resulted in increased apoptosis of retinal ganglion cells whereas at a tenfold lower dose or in vehicle-treated animals no such effect became apparent. Also the extent of inflammation, demyelination, and axonal loss of the optic nerve was more pronounced in rats treated with the higher atacicept dose level. The present study describes observational evidence for adverse effects of atacicept on neuronal survival during EAE.",10.1016/j.jneuroim.2014.01.005,no,NA,WZ,1,NA,EAE,rat,C57BL/6,female,9,Atacicept,control,2,57,"0,1",2.1,10,0.5,1.4,15,0.3,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rat,Failed,NA
232,"Kulkarni, P. and Yellanki, S. and Medishetti, R. and Sriram, D. and Saxena, U. and Yogeeswari, P.",2017,Mult Scler Relat Disord,Novel Zebrafish EAE model: A quick in vivo screen for multiple sclerosis,"INTRODUCTION: Pre-clinical drug discovery for multiple sclerosis (MS) is a labor intensive activity to perform in rodent models. This is owing to the long duration of disease induction and observation of treatment effects in an experimental autoimmune encephalomyelitis (EAE) model. We propose a novel adult zebrafish based model which offers a quick and simple protocol that can used to screen candidates as a step between in vitro experiments and rodent studies. The experiments conducted for this manuscript were to standardize a suitable model of EAE in adult zebrafish and validate it using known modulators. METHODS: The EAE model was developed by disease induction with myelin oligodendrocyte glycoprotein - 35-55 (MOG) and observation of survival, clinical signs and body weight changes. We have validated this model using fingolimod. We have further performed detailed validation using dimethyl fumarate, dexamethasone and SR1001, which are known modulators of rodent EAE. RESULTS: The immunization dose for the disease induction was observed to be 0.6mg/ml of MOG in CFA (Complete Freund's adjuvant), injected subcutaneously (s.c.) near spinal vertebrae. In the validation study with fingolimod, we have demonstrated the modulation of disease symptoms, which were also confirmed by histopathological evaluation. Furthermore, detailed validation with three other known drugs showed that our observations concur with those reported in conventional rodent models. DISCUSSION: We have standardized and validated the adult zebrafish EAE model. This model can help get a quick idea of in vivo activity of drugs in a week using very low quantities of candidate compounds. Further work will be required to define this model particularly as it is found that zebrafish may not express a MOG homologue.",10.1016/j.msard.2016.11.010,no,NA,WZ,1,NA,EAE,zebrafish,NA,NA,20,Fingolimod,control,NA,144,"1,2",1.1,12,0.1,3.8,12,0.1,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zebrafish,Marketed,NA
233,"L<c3><bc>ckel, C. and Picard, F. and Raifer, H. and Campos Carrascosa, L. and Guralnik, A. and Zhang, Y. and Klein, M. and Bittner, S. and Steffen, F. and Moos, S. and Marini, F. and Gloury, R. and Kurschus, F. C. and Chao, Y. Y. and Bertrams, W. and Sexl, V. and Schmeck, B. and Bonetti, L. and Grusdat, M. and Lohoff, M. and Zielinski, C. E. and Zipp, F. and Kallies, A. and Brenner, D. and Berger, M. and Bopp, T. and Tackenberg, B. and Huber, M.",2019,Nat Commun,IL-17(+) CD8(+) T cell suppression by dimethyl fumarate associates with clinical response in multiple sclerosis,"IL-17-producing CD8(+) (Tc17) cells are enriched in active lesions of patients with multiple sclerosis (MS), suggesting a role in the pathogenesis of autoimmunity. Here we show that amelioration of MS by dimethyl fumarate (DMF), a mechanistically elusive drug, associates with suppression of Tc17 cells. DMF treatment results in reduced frequency of Tc17, contrary to Th17 cells, and in a decreased ratio of the regulators RORC-to-TBX21, along with a shift towards cytotoxic T lymphocyte gene expression signature in CD8(+) T cells from MS patients. Mechanistically, DMF potentiates the PI3K-AKT-FOXO1-T-BET pathway, thereby limiting IL-17 and ROR<ce><b3>t expression as well as STAT5-signaling in a glutathione-dependent manner. This results in chromatin remodeling at the Il17 locus. Consequently, T-BET-deficiency in mice or inhibition of PI3K-AKT, STAT5 or reactive oxygen species prevents DMF-mediated Tc17 suppression. Overall, our data disclose a DMF-AKT-T-BET driven immune modulation and suggest putative therapy targets in MS and beyond.",10.1038/s41467-019-13731-z,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,both,10,Dimethyl fumarate,control,NA,NA,2,0.2,7,0.1,2.8,7,0.2,"mean, SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
234,"Lee, D. H. and Seubert, S. and Huhn, K. and Brecht, L. and R<c3><b6>tger, C. and Waschbisch, A. and Schlachetzki, J. and Klausmeyer, A. and Melms, A. and Wiese, S. and Winkler, J. and Linker, R. A.",2017,PLoS One,Fingolimod effects in neuroinflammation: Regulation of astroglial glutamate transporters?,"Fingolimod is an oral sphingosine-1-phosphate-receptor modulator which reduces the recirculation of immune cells and may also directly target glial cells. Here we investigate effects of fingolimod on expression of astroglial glutamate transporters under pro-inflammatory conditions. In astrocyte cell culture, the addition of pro-inflammatory cytokines led to a significant downregulation of glutamate transporters glutamate transporter-1 (slc1a2/SLC1A2) and glutamate aspartate transporter (slc1a3/SLC1A3) expression on the mRNA or protein level. In this setting, the direct application of fingolimod-1 phosphate (F1P) on astrocytes did not change expression levels of slc1a2 and slc1a3 mRNA. The analysis of both transporters on the protein level by Western Blot and immunocytochemistry did also not reveal any effect of F1P. On a functional level, the addition of conditioned supernatants from F1P treated astrocytes to neuronal cell culture did not result in increased neurite growth. In experimental autoimmune encephalomyelitis as a model of multiple sclerosis, fingolimod treatment reduced T cell and macrophages/microglia mediated inflammation and also diminished astrocyte activation. At the same time, fingolimod restored the reduced expression of slc1a2 and slc1a3 in the inflamed spinal cord on the mRNA level and of SLC1A2 and SLC1A3 on the protein level, presumably via indirect, anti-inflammatory mechanisms. These findings provide further evidence for a predominantly peripheral effect of the compound in neuroinflammation.",10.1371/journal.pone.0171552,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,both,9.5,Fingolimod,control,1,NA,"1,2",3.2,6,1.2,5,6,1,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,clinical score from 0-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
235,"Lehmann-Horn, K. and Sagan, S. A. and Bernard, C. C. A. and Sobel, R. A. and Zamvil, S. S.",2015,Annals of Neurology,B-cell very late antigen-4 deficiency reduces leukocyte recruitment and susceptibility to central nervous system autoimmunity,"Natalizumab, which binds very late antigen-4 (VLA-4), is a potent therapy for multiple sclerosis (MS). Studies have focused primarily upon its capacity to interfere with T-cell migration into the central nervous system (CNS). B cells are important in MS pathogenesis and express high levels of VLA-4. Here, we report that the selective inhibition of VLA-4 expression on B cells impedes CNS accumulation of B cells, and recruitment of Th17 cells and macrophages, and reduces susceptibility to experimental autoimmune encephalomyelitis. These results underscore the importance of B-cell VLA-4 expression in the pathogenesis of CNS autoimmunity and provide insight regarding mechanisms that may contribute to the benefit of natalizumab in MS, as well as candidate therapeutics that selectively target B cells. Ann Neurol 2015;77:902-908",10.1002/ana.24387,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,NA,10,Natalizumab,control,1,NA,1,1.6,8,0.5,3.2,7,0.2,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
236,"Lehmann-Horn, K. and Schleich, E. and Hertzenberg, D. and Hapfelmeier, A. and K<c3><bc>mpfel, T. and von Bubnoff, N. and Hohlfeld, R. and Berthele, A. and Hemmer, B. and Weber, M. S.",2011,Journal of Neuroinflammation,Anti-CD20 B-cell depletion enhances monocyte reactivity in neuroimmunological disorders,"Background: Clinical trials evaluating anti-CD20-mediated B-cell depletion in multiple sclerosis (MS) and neuromyelitis optica (NMO) generated encouraging results. Our recent studies in the MS model experimental autoimmune encephalomyelitis (EAE) attributed clinical benefit to extinction of activated B-cells, but cautioned that depletion of na<c3><af>ve B-cells may be undesirable. We elucidated the regulatory role of un-activated B-cells in EAE and investigated whether anti-CD20 may collaterally diminish regulatory B-cell properties in treatment of neuroimmunological disorders.Methods: Myelin oligodendrocyte glycoprotein (MOG) peptide-immunized C57Bl/6 mice were depleted of B-cells. Functional consequences for regulatory T-cells (Treg) and cytokine production of CD11b+ antigen presenting cells (APC) were assessed. Peripheral blood mononuclear cells from 22 patients receiving anti-CD20 and 23 untreated neuroimmunological patients were evaluated for frequencies of B-cells, T-cells and monocytes; monocytic reactivity was determined by TNF-production and expression of signalling lymphocytic activation molecule (SLAM).Results: We observed that EAE-exacerbation upon depletion of un-activated B-cells closely correlated with an enhanced production of pro-inflammatory TNF by CD11b+ APC. Paralleling this pre-clinical finding, anti-CD20 treatment of human neuroimmunological disorders increased the relative frequency of monocytes and accentuated pro-inflammatory monocyte function; when reactivated ex vivo, a higher frequency of monocytes from B-cell depleted patients produced TNF and expressed the activation marker SLAM.Conclusions: These data suggest that in neuroimmunological disorders, pro-inflammatory APC activity is controlled by a subset of B-cells which is eliminated concomitantly upon anti-CD20 treatment. While this observation does not conflict with the general concept of B-cell depletion in human autoimmunity, it implies that its safety and effectiveness may further advance by selectively targeting pathogenic B-cell function. <c2><a9> 2011 Lehmann-Horn et al; licensee BioMed Central Ltd.",10.1186/1742-2094-8-146,no,NA,WZ,1,NA,EAE,mouse,C57BL/6,female,NA,Rituximab,control,2,NA,0,2.7,5,0.5,1.3,5,0.6,"mean, SEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Marketed,NA
237,"Lemire, J. M. and Archer, D. C.",1991,J Clin Invest,"1,25-dihydroxyvitamin D3 prevents the in vivo induction of murine experimental autoimmune encephalomyelitis","The hormone, 1,25-dihydroxyvitamin D3 (1,25-[OH]2-D3), inhibits lymphocyte activation in vitro. We studied the ability of the vitamin D metabolite to interfere in vivo with a primary T cell-mediated model of autoimmunity, murine experimental autoimmune encephalomyelitis (EAE). Within 2 wk of antigenic challenge, immunized animals will develop acute paralysis with central nervous tissue inflammation. If mice survive, a rise in antibody titer develops within a month. The administration of 0.1 microgram 1,25-(OH)2-D3 i.p. given every other day for 15 d, starting 3 d before immunization, significantly prevented the development of EAE. The rise in antibody titer to myelin basic protein was also abrogated. Histopathologic lesions of EAE were inhibited by treatment with the sterol. These results suggest a potent immunosuppressive role for 1,25-(OH)2-D3 in vivo in the modulation of a cell-mediated model of autoimmunity.",10.1172/jci115072,no,NA,WZ,1,NA,EAE,mouse,SJL,female,7,Vitamin D3,control,1,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,Failed,NA
